state_name,state_code,capital ,Latitude,Longitude,population
Andhra Pradesh,IN.AP,Hyderabadÿ,15.9129,79.74,
Arunachal Pradesh,IN.AR,Itanagar,28.218,94.7278,
Assam,IN.AS,Dispur,26.2006,92.9376,
Bihar,IN.BR,Patna,25.0961,85.3131,
Chhattisgarh,IN.CT,Raipur,21.2787,81.8661,
Goa,IN.GA,Panaji,15.2993,74.124,
Gujarat,IN.GJ,Gandhinagar,22.2587,71.1924,
Haryana,IN.HR,Chandigarh,29.0588,76.0856,
Himachal Pradesh,IN.HP,Shimla,31.1048,77.1734,
Jammu and Kashmir,IN.JK,Srinagar,33.7782,76.5762,
Jharkhand,IN.JH,Ranchi,23.6102,85.2799,
Karnataka,IN.KA,Bengaluruÿ,15.3173,75.7139,
Kerala,IN.KL,Thiruvananthapuram,10.8505,76.2711,
Madhya Pradesh,IN.MP,Bhopal,22.9734,78.6569,
Maharashtra,IN.MH,Mumbai,19.7515,75.7139,
Manipur,IN.MN,Imphal,24.6637,93.9063,
Meghalaya,IN.ML,Shillong,25.467,91.3662,
Mizoram,IN.MZ,Aizawl,23.1645,92.9376,
Nagaland,IN.NL,Kohima,26.1584,94.5624,
Odisha,IN.OR,Bhubaneswar,20.9517,85.0985,
Punjab,IN.PB,Chandigarh,31.1471,75.3412,
Rajasthan,IN.RJ,Jaipur,27.0238,74.2179,
Sikkim,IN.SK,Gangtok,27.533,88.5122,
Tamil Nadu,IN.TN,Chennai,11.1271,78.6569,
Telangana,IN.TG,Hyderabad,18.1124,79.0193,
Tripura,IN.TR,Agartala,23.9408,91.9882,
Uttarakhand,IN.UT,Dehradunÿ,30.0668,79.0193,
Uttar Pradesh,IN.UP,Lucknow,26.8467,80.9462,
West Bengal,IN.WB,Kolkata,22.9868,87.855,
Andaman and Nicobar Islands,IN.AN,Port Blair,11.7401,92.6586,
Chandigarh,IN.CH,Chandigarh,30.7333,76.7794,
Dadra and Nagar Haveli,IN.DD,Daman,20.1809,73.0169,
Daman and Diu,IN.DD,Daman,20.1809,73.0169,
Delhi,IN.DL,New Delhi,28.7041,77.1025,
Lakshadweep,IN.LD,Kavaratti,10.5667,72.6417,
Puducherry,IN.PY,Pondicherry,11.9416,79.8083,
Telengana,IN.TL,Hyderabadÿ,18.1124,79.0193,
Union Territory of Ladakh,IN.LK,Leh,34.2996,78.2932,
Union Territory of Jammu and Kashmir,IN.JK,Srinagar,33.7782,76.5762,
Union Territory of Chandigarh,IN.CH,Raipur,30.7333,76.7794,
Ladakh,IN.LK,Leh,34.2996,78.2932,
Dadra and Nagar Haveli and Daman and Diu,IN.DD,Daman,20.1809,73.0169,
